id;frequency;date;description;latitude;longitude
1;middleware deposit;2023-07-31T11:45:32;Borders Nakfa;19201;16865
2;orchid;2023-07-30T15:16:04;architect Lead directional;75076;71993
3;Product;2023-07-31T01:14:47;override Producer;54777;80092
4;functionalities bandwidth;2023-07-30T22:20:03;China;61554;7500
5;Buckinghamshire;2023-07-31T07:23:21;Dam;71171;24233
6;Assistant;2023-07-31T09:43:44;didactic infrastructures superstructure;71177;79587
7;Refined Court synthesize;2023-07-31T10:09:42;COM schemas Gloves;16131;30028
8;overriding tangible;2023-07-31T00:31:26;Keyboard bandwidth mission-critical;96805;97967
9;Versatile Rapids;2023-07-31T09:42:24;Account;9106;85283
10;port;2023-07-31T00:09:46;gold blockchains;90777;8529
